% browser tabs belong to same task classification
@RELATION multitasking

@ATTRIBUTE feature_1 REAL
@ATTRIBUTE feature_2 REAL
@ATTRIBUTE feature_3 REAL
@ATTRIBUTE feature_4 REAL
@ATTRIBUTE same_group {yes, no}

@DATA
0.0365853658537,0.0159238080057,0.075,0.0363292956085,yes
0.0357142857143,0.0148362251163,0.25,0.144206566162,no
0.0344827586207,0.0138460458988,0.2,0.0850724105446,no
0.0333333333333,0.0138273604223,0.166666666667,0.0843718823734,no
0.0363636363636,0.0151293362316,0.105263157895,0.0482027991641,no
0.0384615384615,0.0170571051263,0.125,0.0753265848555,no
0.0285714285714,0.0122150005158,0.0909090909091,0.0467323328451,no
0.0277777777778,0.011947956424,0.0833333333333,0.0430510665805,no
0.027027027027,0.0118846068912,0.0769230769231,0.0422397868984,no
0.031914893617,0.0132476128355,0.0652173913043,0.028430708153,no
0.025974025974,0.0118301021479,0.0487804878049,0.025523842373,no
0.0212765957447,0.00918456000993,0.0434782608696,0.02065676734,no
0.0208333333333,0.00901213288836,0.0416666666667,0.0198045563861,no
0.0232558139535,0.0101932177222,0.04,0.0189561319244,no
0.0188679245283,0.00819829786841,0.0344827586207,0.0162579298602,yes
0.0185185185185,0.00816355298419,0.0333333333333,0.0161218580078,yes
0.0181818181818,0.00794923707913,0.0322580645161,0.0153068699922,yes
0.0178571428571,0.00788163348629,0.03125,0.0150581638536,yes
0.0185185185185,0.00842027408561,0.025,0.0113877543169,yes
0.0172413793103,0.00775661015173,0.0294117647059,0.0146083065551,no
0.0169491525424,0.00769405169513,0.0285714285714,0.014387984089,no
0.0166666666667,0.0076247500991,0.0277777777778,0.0141475240505,no
0.016393442623,0.00733985397438,0.027027027027,0.0131970692995,no
0.0161290322581,0.00732121558561,0.0263157894737,0.0131369367859,no
0.0175438596491,0.00802452540761,0.0246913580247,0.0119035517401,no
0.018018018018,0.00846468045355,0.0240963855422,0.0114691266738,no
0.0176991150442,0.00847231906677,0.0235294117647,0.0114831545915,no
0.0175438596491,0.00826278381996,0.0229885057471,0.0109394409141,no
0.015625,0.00708418317826,0.0232558139535,0.0110895804151,no
0.015625,0.00718862448747,0.0208333333333,0.00930682657826,no
0.0149253731343,0.00694373851507,0.0196078431373,0.00890044134696,no
0.0147058823529,0.00694357562868,0.0192307692308,0.00890017372711,no
0.0144927536232,0.00694210094972,0.0188679245283,0.00889775101327,no
0.0142857142857,0.0069295058045,0.0185185185185,0.00887707056671,no
0.0149253731343,0.00693905405898,0.0181818181818,0.00878134162682,no
0.0147058823529,0.00693783424462,0.0178571428571,0.0087793882111,no
0.00028417163967,0.000319477227804,0.000292654375183,0.000355871862351,no
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0,0,0,0,yes
0.0361445783133,0.0698873437558,0.0731707317073,0.157598618089,no
0.0359281437126,0.00769438096227,0.0722891566265,0.0170827616356,no
0.0357142857143,0.0130766948126,0.0714285714286,0.0290233900167,no
0.0621761658031,0.0437426015727,0.123711340206,0.0958132617762,no
0.0631578947368,0.0805985480515,0.127659574468,0.184156660681,no
0.0346820809249,0.0300298743925,0.0674157303371,0.0647412175945,no
0.0344827586207,0.0159350613946,0.0666666666667,0.0341720466995,no
0.0342857142857,0.0912987261643,0.0659340659341,0.195534680091,no
0.0775862068966,0.0481630312186,0.145161290323,0.0972074722138,no
0.0558139534884,0.0698093668787,0.100840336134,0.140147348225,no
0.0324324324324,0.0299266863606,0.0594059405941,0.0600715173268,no
0.0322580645161,0.0342823816059,0.0588235294118,0.0684756419011,no
0.0535714285714,0.0472585631306,0.09375,0.0900370102672,no
0.0314136125654,0.0262352466393,0.0560747663551,0.0511109653593,yes
0.03125,0.0262039626472,0.0555555555556,0.0509923641068,yes
0.0310880829016,0.0260066823349,0.0550458715596,0.050250579118,yes
0.0309278350515,0.0259428687521,0.0545454545455,0.0500128769808,yes
0.0487804878049,0.0414551414149,0.0759493670886,0.0676395915785,yes
0.030612244898,0.0258227790022,0.0535714285714,0.0495684786784,no
0.0304568527919,0.0257616541573,0.0530973451327,0.0493437395481,no
0.030303030303,0.025693115574,0.0526315789474,0.0490929003765,no
0.0301507537688,0.0254018841099,0.0521739130435,0.0480404980854,no
0.03,0.0253822813862,0.051724137931,0.0479704331095,no
0.047619047619,0.0405912351167,0.0754716981132,0.0692007919331,no
0.0481927710843,0.0415492071999,0.0745341614907,0.0678903755231,no
0.0478087649402,0.041565331383,0.0736196319018,0.0679334356718,no
0.047619047619,0.0411169346328,0.0727272727273,0.066226522097,no
0.029702970297,0.0251267852035,0.0495867768595,0.0452938590281,no
0.029702970297,0.0252407993771,0.047619047619,0.0423869701716,no
0.0292682926829,0.0249697649885,0.046511627907,0.0416281715259,no
0.0291262135922,0.0249695803526,0.0461538461538,0.0416276583578,no
0.0289855072464,0.0249679084966,0.0458015267176,0.0416230119111,no
0.0288461538462,0.0249536094325,0.0454545454545,0.041583288694,no
0.0292682926829,0.0249644526697,0.0451127819549,0.041397981284,no
0.0291262135922,0.0249630685563,0.044776119403,0.041394175273,no
0.00191413727099,0.00412037614725,0.00171673819742,0.00383895864386,no
0.0165562913907,0.013367372164,0.0285714285714,0.0216574047188,no
0.00546448087432,0.00610014675465,0.00900900900901,0.0101385158807,no
0.00692041522491,0.0070598082901,0,0,no
0.00540540540541,0.00609243611009,0,0,no
